station	lon     	lat     	v_vert	v_std
CARL	-2.938275	54.895426	1.107	0.271
CARM	-68.013670	46.868420	6.468	0.270
CARP	10.426528	45.368204	0.145	0.516
CARS	-119.799407	39.144911	1.853	0.343
CARZ	8.680204	46.042341	0.695	0.128
CAS0	-2.913774	42.543751	-0.491	0.193
CAS3	2.904172	41.882886	-0.211	0.206
CAS9	10.405269	44.431633	1.178	0.281
CASB	-9.287306	53.850741	1.082	0.190
CASC	-9.418521	38.693415	-0.385	0.181
CASN	-119.845289	34.415689	1.856	0.498
CASS	-83.161139	43.601950	-0.872	0.191
CAST	-110.677313	39.191022	-0.212	0.111
CATH	-123.367271	46.197303	-0.144	0.507
CATK	43.060694	38.007346	0.417	0.798
CAVN	-7.364772	53.993530	0.730	0.196
CAYU	-76.540356	42.943540	-0.135	0.181
CAZA	-5.759778	37.937879	-0.343	0.287
CBAA	-68.448149	-22.746369	0.706	0.665
CBHS	-118.629805	34.138561	0.859	0.245
CBRM	-60.196021	46.137121	-0.721	0.460
CBRY	5.909219	45.581284	-0.121	0.246
CCCC	-117.671172	35.565312	1.041	0.289
CCEX	-6.377913	39.472301	-0.688	0.358
CCJ2	142.195029	27.067532	-0.217	0.889
CCJM	142.184579	27.095583	-2.011	1.004
CCRI	16.775623	39.226170	0.063	0.378
CCST	-119.013464	34.806362	3.004	0.268
CDMT	-116.335931	34.829467	1.257	0.234
CDRD	-6.538118	40.590032	-0.569	0.168
CDRU	15.304732	40.489697	0.792	0.139
CDTO	-82.872669	8.573238	-1.646	1.525
CDVV	-106.969773	34.254154	2.714	0.156
CEAU	1.540606	46.558550	-0.373	0.430
CEDA	-112.860481	40.680696	2.202	0.333
CEDU	133.809831	-31.866665	0.302	0.268
CEEU	-38.425541	-3.877548	-0.861	0.730
CEFE	-40.319455	-20.310793	1.626	0.344
CERN	6.060566	46.256955	-0.127	0.400
CERT	12.981835	41.949101	0.486	0.354
CFRM	18.353189	49.684796	0.778	0.271
CGDM	-117.964945	34.243993	1.345	0.326
CGIA	12.265463	45.206525	0.384	0.604
CGTC	-70.068966	-20.177126	1.768	0.625
CHA4	-82.191990	42.399834	-2.074	0.431
CHAC	-58.959693	-27.420439	2.534	1.180
CHAN	125.444199	43.790686	0.038	0.309
CHAS	4.559444	47.862686	-0.772	0.312
CHAT	-176.565842	-43.955785	-1.379	0.237
CHB5	-84.465647	45.653494	-0.297	0.203
CHB6	-84.465846	45.653698	-1.130	0.208
CHCN	-112.716647	44.647711	0.515	0.489
CHEL	-119.989904	47.831555	-1.807	0.477
CHEM	-121.785833	43.224361	-0.461	0.328
CHER	-73.890591	46.093377	3.816	0.430
CHES	-75.600324	39.951653	-0.815	0.247
CHET	-88.299225	18.495277	-0.001	2.630
CHI8	0.253520	47.165860	-0.993	0.497
CHIH	-106.086741	28.662192	0.481	0.344
CHIL	-118.025999	34.333423	1.400	0.308
CHIN	-81.807128	24.550479	-2.895	1.746
CHIO	-1.438312	51.148996	-0.056	0.261
CHIR	-109.366439	32.005681	1.885	0.361
CHME	-80.889056	35.276666	-1.068	0.192
CHMS	-117.827701	34.640462	0.969	0.371
CHMX	6.873000	45.926155	1.225	0.496
CHMZ	-69.194168	-19.668538	0.658	0.833
CHOR	-120.734767	35.332723	0.298	0.279
CHPH	1.500926	48.460210	-0.258	0.256
CHPI	-44.985158	-22.687146	1.747	0.428
CHRM	6.281233	48.371844	2.064	0.207
CHSN	-84.122778	43.189869	-1.312	0.277
CHTI	-176.617115	-43.735474	-1.537	0.379
CHU2	-94.089059	58.758832	10.768	0.359
CHUM	74.751098	42.998501	0.977	0.303
CHUR	-94.088728	58.759078	11.407	0.415
CHZZ	-123.978124	45.486515	-0.025	0.425
CIGN	14.904814	41.654188	3.488	0.212
CIRX	-118.937295	34.109553	1.424	0.229
CIT1	-118.127285	34.136709	2.579	0.399
CJMS	-117.479380	34.313799	2.057	0.360
CJNT	-67.760575	-23.027490	1.240	1.082
CJTR	-92.273036	34.821695	-0.553	0.448
CKIS	-159.800609	-21.201028	0.257	0.547
CKSH	-8.089918	53.943782	0.693	0.441
CLAR	-117.708809	34.109928	1.997	0.311
CLAU	10.346159	51.799055	0.625	0.408
CLBD	-117.310976	33.135386	0.470	0.478
CLCV	-122.089393	42.976000	-1.779	1.141
CLEV	153.266538	-27.526152	-0.489	0.326
CLIB	15.059897	50.771706	1.156	0.152
CLIF	-109.416943	32.846040	1.249	0.304
CLIM	175.145471	-41.144668	-2.652	0.762
CLK5	-97.960688	44.935620	-1.636	0.184
CLLA	-69.356650	-20.954484	1.265	0.875
CLMT	3.145517	45.775063	-0.580	0.263
CLNM	-7.695437	52.354998	0.749	0.467
CLRE	-82.595706	42.723874	-1.176	0.146
CLS5	172.752247	-43.565318	-0.593	2.590
CMBB	-120.386040	38.034176	3.071	0.403
CMBL	174.213807	-41.749044	-0.320	0.479
CME5	-124.396334	40.441774	1.829	1.110
CME6	-124.396330	40.441406	0.902	1.044
CMLD	32.474515	40.490967	0.737	0.279
CMP9	-118.411423	34.353179	0.219	0.293
CMPR	15.302882	40.317851	0.290	0.158
CMTS	-71.982911	42.145405	0.485	0.213
CN11	-77.784118	17.021180	3.898	0.686
CN40	-68.958015	12.180044	1.650	0.601
CNC0	-86.820900	21.174653	-1.204	0.409
CNCR	-121.749301	48.538706	-1.029	0.392
CNG1	37.516038	55.855030	-1.894	0.381
CNIV	31.313600	51.518939	2.086	0.311
CNM1	-106.624719	35.076431	1.728	0.199
CNMR	145.743092	15.229697	-2.654	0.984
CNPP	-117.608919	33.857632	0.941	0.268
CNST	178.211143	-38.487965	-1.731	0.634
COA1	113.561384	22.120686	0.008	0.584
COBA	-4.721108	37.915607	-0.929	0.322
COBO	-78.149728	43.960187	-1.017	0.464
COCO	96.833970	-12.188347	1.078	0.653
COF1	-119.240634	39.605018	0.436	0.276
